rank,prev_rank,name,league,off,def,spi
195,236,FC Groningen,Dutch Eredivisie,1.42,1.37,47.01
196,219,NEC,Dutch Eredivisie,1.43,1.38,46.94
197,193,Lokomotiv Moscow,Russian Premier Liga,1.36,1.31,46.94
198,195,Salernitana,Italy Serie A,1.42,1.38,46.63
199,197,Antwerp,Belgian Jupiler League,1.32,1.28,46.63
200,202,Urawa Red Diamonds,Japanese J League,1.22,1.18,46.61
201,213,Boavista,Portuguese Liga,1.28,1.25,46.28
202,161,Coventry City,English League Championship,1.38,1.36,46.21
203,220,New York Red Bulls,Major League Soccer,1.29,1.27,46.03
204,153,Cagliari,Italy Serie B,1.38,1.38,45.99
205,229,América Mineiro,Brasileiro Série A,1.17,1.15,45.72
206,191,LASK Linz,Austrian T-Mobile Bundesliga,1.42,1.43,45.58
207,233,Los Angeles Galaxy,Major League Soccer,1.52,1.55,45.39
208,215,Puebla,Mexican Primera Division Torneo Apertura,1.32,1.34,45.34
209,201,Silkeborg,Danish SAS-Ligaen,1.46,1.5,45.21
210,225,Portimonense,Portuguese Liga,1.22,1.23,45.17
211,278,Metz,French Ligue 2,1.35,1.37,45.16
212,223,Atlético Goianiense,Brasileiro Série A,1.18,1.2,45.12
213,179,Kasimpasa,Turkish Turkcell Super Lig,1.57,1.62,45.09
214,113,Granada,Spanish Segunda Division,1.33,1.36,45.01
215,228,Vizela,Portuguese Liga,1.31,1.34,44.97
216,230,Maritimo,Portuguese Liga,1.23,1.26,44.82
217,255,New England Revolution,Major League Soccer,1.54,1.6,44.76
218,,Rio Ave,Portuguese Liga,1.31,1.35,44.75
219,214,Stoke City,English League Championship,1.21,1.24,44.73
220,273,Cuiaba,Brasileiro Série A,1.06,1.07,44.72
221,,FC Volendam,Dutch Eredivisie,1.31,1.35,44.7
222,226,Rosenborg,Norwegian Tippeligaen,1.5,1.56,44.68
223,,Emmen,Dutch Eredivisie,1.31,1.35,44.68
224,205,Preston North End,English League Championship,1.27,1.31,44.67
225,216,AEK Athens,Greek Super League,1.32,1.37,44.55
226,184,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.31,1.37,44.45
227,198,Sporting de Charleroi,Belgian Jupiler League,1.42,1.48,44.45
228,,Excelsior,Dutch Eredivisie,1.3,1.36,44.42
229,221,Konyaspor,Turkish Turkcell Super Lig,1.42,1.49,44.36
230,224,Kashima Antlers,Japanese J League,1.39,1.46,44.34
231,,Chaves,Portuguese Liga,1.3,1.36,44.28
232,253,Austin FC,Major League Soccer,1.47,1.55,44.24
233,251,Djurgardens IF,Swedish Allsvenskan,1.39,1.46,44.23
234,250,Brondby,Danish SAS-Ligaen,1.27,1.34,44.07
235,248,Estoril Praia,Portuguese Liga,1.22,1.29,43.95
236,290,Sparta,Dutch Eredivisie,1.28,1.36,43.89
237,284,RKC,Dutch Eredivisie,1.36,1.45,43.78
238,246,FC Arouca,Portuguese Liga,1.19,1.27,43.74
239,239,Blackburn,English League Championship,1.18,1.26,43.63
240,276,Colorado Rapids,Major League Soccer,1.34,1.44,43.6
241,231,Rostov,Russian Premier Liga,1.33,1.43,43.58
242,245,Argentinos Juniors,Argentina Primera Division,1.12,1.19,43.44
243,209,Antalyaspor,Turkish Turkcell Super Lig,1.31,1.42,43.38
244,210,Alanyaspor,Turkish Turkcell Super Lig,1.43,1.56,43.29
245,260,Pacos Ferreira,Portuguese Liga,1.16,1.26,43.23
246,285,Columbus Crew,Major League Soccer,1.32,1.43,43.17
247,288,Atlanta United FC,Major League Soccer,1.4,1.53,43.16
248,177,Defensa y Justicia,Argentina Primera Division,1.19,1.29,43.13
249,218,Millwall,English League Championship,1.22,1.33,43.12
250,189,St Gallen,Swiss Raiffeisen Super League,1.5,1.64,43.12
251,238,Aris Salonika,Greek Super League,1.01,1.09,42.99
252,277,Botafogo,Brasileiro Série A,1.13,1.23,42.97
253,300,Go Ahead Eagles,Dutch Eredivisie,1.3,1.42,42.96
254,271,Nashville SC,Major League Soccer,1.29,1.41,42.87
255,279,Portland Timbers,Major League Soccer,1.51,1.67,42.77
256,211,FK Qarabag,UEFA Europa Conference League,1.33,1.47,42.68
257,266,Lillestrom,Norwegian Tippeligaen,1.36,1.51,42.54
258,249,Pumas Unam,Mexican Primera Division Torneo Apertura,1.2,1.33,42.54
259,144,Genoa,Italy Serie B,1.29,1.43,42.51
260,175,Arminia Bielefeld,German 2. Bundesliga,1.37,1.52,42.49
261,258,Cerezo Osaka,Japanese J League,1.3,1.45,42.42
262,240,Estudiantes,Argentina Primera Division,1.22,1.36,42.39
263,263,Hammarby,Swedish Allsvenskan,1.42,1.58,42.33
264,212,Krylia Sovetov,Russian Premier Liga,1.26,1.41,42.32
265,227,Luton Town,English League Championship,1.16,1.3,42.16
266,232,CSKA Sofia,UEFA Europa Conference League,1.08,1.21,42.15
267,244,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.39,1.56,42.12
268,304,Minnesota United FC,Major League Soccer,1.38,1.56,42.0
269,207,Anorthosis Famagusta,UEFA Europa Conference League,1.19,1.35,41.98
270,338,Racing Club,Argentina Primera Division,1.14,1.28,41.91
271,287,Coritiba,Brasileiro Série A,1.26,1.42,41.91
272,292,Seattle Sounders FC,Major League Soccer,1.28,1.45,41.89
273,306,Montreal Impact,Major League Soccer,1.35,1.53,41.86
274,206,St. Truidense,Belgian Jupiler League,1.18,1.34,41.83
275,,Casa Pia,Portuguese Liga,1.19,1.36,41.78
276,296,FC Dallas,Major League Soccer,1.35,1.53,41.75
277,309,Derby County,English League One,1.37,1.56,41.67
278,281,Queens Park Rangers,English League Championship,1.2,1.37,41.63
279,222,Terek Grozny,Russian Premier Liga,1.11,1.27,41.59
280,259,Adana Demirspor,Turkish Turkcell Super Lig,1.28,1.47,41.56
281,235,Huddersfield Town,English League Championship,1.13,1.29,41.55
282,272,Viking FK,Norwegian Tippeligaen,1.44,1.65,41.53
283,265,Talleres de Córdoba,Argentina Primera Division,1.14,1.31,41.45
284,243,CFR 1907 Cluj,UEFA Europa Conference League,1.23,1.41,41.43
285,237,Cercle Brugge,Belgian Jupiler League,1.27,1.47,41.24
286,262,F.B.C Unione Venezia,Italy Serie B,1.25,1.45,41.15
287,256,Hearts,Scottish Premiership,1.25,1.46,41.13
288,326,Real Salt Lake,Major League Soccer,1.24,1.44,41.08
289,268,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.22,1.42,41.03
290,346,Cambuur Leeuwarden,Dutch Eredivisie,1.41,1.65,40.8
291,354,Fortuna Sittard,Dutch Eredivisie,1.34,1.58,40.63
292,286,Necaxa,Mexican Primera Division Torneo Apertura,1.14,1.35,40.55
293,270,Cardiff City,English League Championship,1.1,1.31,40.43
294,125,Alavés,Spanish Segunda Division,1.21,1.44,40.33
295,336,Avaí,Brasileiro Série A,1.16,1.38,40.21
296,320,Swansea City,English League Championship,1.26,1.5,40.2
297,269,Union Santa Fe,Argentina Primera Division,1.08,1.3,39.98
298,261,Sivasspor,Turkish Turkcell Super Lig,1.24,1.49,39.98
299,315,Goiás,Brasileiro Série A,1.16,1.4,39.95
300,264,Ludogorets,UEFA Europa League,1.25,1.51,39.87
301,297,Malmo FF,Swedish Allsvenskan,1.17,1.42,39.83
302,275,Lanus,Argentina Primera Division,1.22,1.49,39.77
303,301,Bristol City,English League Championship,1.26,1.54,39.73
304,356,Godoy Cruz,Argentina Primera Division,1.12,1.37,39.6
305,242,Blackpool,English League Championship,1.15,1.42,39.41
306,293,Benevento,Italy Serie B,1.16,1.43,39.39
307,291,Slovan Bratislava,UEFA Europa Conference League,1.13,1.4,39.27
308,312,Paris FC,French Ligue 2,1.13,1.41,39.18
309,339,Sochaux,French Ligue 2,1.08,1.34,39.12
310,398,Sheffield Wednesday,English League One,1.28,1.58,39.09
311,299,Sanfrecce Hiroshima,Japanese J League,1.11,1.38,39.08
312,317,Juventude,Brasileiro Série A,1.06,1.32,39.07
313,295,Huracán,Argentina Primera Division,0.99,1.24,38.96
314,303,KV Mechelen,Belgian Jupiler League,1.36,1.69,38.91
315,254,Omonia Nicosia,UEFA Europa Conference League,1.24,1.55,38.79
316,371,Eibar,Spanish Segunda Division,1.09,1.38,38.7
317,345,Chicago Fire,Major League Soccer,1.21,1.52,38.65
318,321,Randers FC,Danish SAS-Ligaen,1.15,1.46,38.42
319,380,FC Nordsjaelland,Danish SAS-Ligaen,1.2,1.53,38.4
320,283,CA Independiente,Argentina Primera Division,1.01,1.3,38.29
321,419,Mamelodi Sundowns,South African ABSA Premier League,1.16,1.49,38.11
322,337,Orlando City SC,Major League Soccer,1.22,1.57,38.1
323,322,Vissel Kobe,Japanese J League,1.11,1.43,38.05
324,294,Banfield,Argentina Primera Division,1.04,1.35,38.01
325,307,FC Khimki,Russian Premier Liga,1.11,1.44,37.94
326,302,AaB,Danish SAS-Ligaen,1.26,1.62,37.92
327,314,Brescia,Italy Serie B,1.1,1.43,37.91
328,328,Hartberg,Austrian T-Mobile Bundesliga,1.22,1.57,37.89
329,324,Mazatlán FC,Mexican Primera Division Torneo Apertura,1.11,1.45,37.72
330,355,Caen,French Ligue 2,1.14,1.48,37.67
331,332,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.33,1.71,37.64
332,404,Real Zaragoza,Spanish Segunda Division,1.07,1.4,37.58
333,329,Birmingham,English League Championship,1.15,1.5,37.58
334,217,SV Darmstadt 98,German 2. Bundesliga,1.31,1.7,37.51
335,372,Real Oviedo,Spanish Segunda Division,1.05,1.39,37.46
336,327,Toluca,Mexican Primera Division Torneo Apertura,1.25,1.63,37.46
337,367,Dijon FCO,French Ligue 2,1.2,1.57,37.44
338,323,Fatih Karagümrük,Turkish Turkcell Super Lig,1.13,1.48,37.41
339,384,Standard Liege,Belgian Jupiler League,1.14,1.5,37.41
340,420,Sunderland,English League Championship,1.14,1.5,37.28
341,330,Tijuana,Mexican Primera Division Torneo Apertura,1.1,1.47,37.2
342,349,BK Hacken,Swedish Allsvenskan,1.42,1.85,37.14
343,325,Guingamp,French Ligue 2,1.16,1.54,37.13
344,352,San Jose Earthquakes,Major League Soccer,1.38,1.82,36.99
345,342,Livingston,Scottish Premiership,1.09,1.46,36.98
346,411,SD Huesca,Spanish Segunda Division,1.06,1.42,36.92
347,362,Hull City,English League Championship,1.04,1.4,36.9
348,366,Las Palmas,Spanish Segunda Division,1.04,1.4,36.83
349,343,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.16,1.56,36.79
350,280,Ural Sverdlovsk Oblast,Russian Premier Liga,0.97,1.32,36.76
351,358,Gimnasia La Plata,Argentina Primera Division,0.96,1.31,36.67
352,361,Kayserispor,Turkish Turkcell Super Lig,1.22,1.64,36.63
353,350,Hatayspor,Turkish Turkcell Super Lig,1.24,1.67,36.61
354,370,Hibernian,Scottish Premiership,1.02,1.39,36.55
355,298,IF Elfsborg,Swedish Allsvenskan,1.31,1.75,36.53
356,344,Flora,UEFA Europa Conference League,1.33,1.78,36.51
357,,Tigre,Argentina Primera Division,1.08,1.48,36.45
358,368,SK Austria Klagenfurt,Austrian T-Mobile Bundesliga,1.2,1.62,36.45
359,159,SpVgg Greuther Fürth,German 2. Bundesliga,1.21,1.64,36.34
360,351,Newell's Old Boys,Argentina Primera Division,0.96,1.33,36.33
361,311,Fortuna Düsseldorf,German 2. Bundesliga,1.11,1.52,36.28
362,403,Amiens,French Ligue 2,0.99,1.38,36.15
363,348,FC St. Pauli,German 2. Bundesliga,1.26,1.71,36.1
364,347,KV Kortrijk,Belgian Jupiler League,1.16,1.59,36.03
365,353,FC Juárez,Mexican Primera Division Torneo Apertura,0.96,1.35,36.03
366,335,Frosinone,Italy Serie B,1.16,1.59,35.99
367,305,FC Luzern,Swiss Raiffeisen Super League,1.26,1.72,35.98
368,388,Reading,English League Championship,1.14,1.58,35.89
369,,KVC Westerlo,Belgian Jupiler League,1.12,1.55,35.84
370,383,FC Cincinnati,Major League Soccer,1.32,1.81,35.77
371,382,Aberdeen,Scottish Premiership,1.02,1.44,35.75
372,414,Leganes,Spanish Segunda Division,1.03,1.44,35.73
373,387,Dundee Utd,Scottish Premiership,1.02,1.44,35.47
374,422,Inter Miami CF,Major League Soccer,1.18,1.65,35.42
375,357,Viborg,Danish SAS-Ligaen,1.11,1.57,35.38
376,392,Colon Santa Fe,Argentina Primera Division,0.97,1.39,35.34
377,484,Sporting Gijón,Spanish Segunda Division,0.98,1.4,35.32
378,376,Charlotte FC,Major League Soccer,1.09,1.54,35.29
379,410,Pisa,Italy Serie B,1.02,1.45,35.27
380,386,Sagan Tosu,Japanese J League,1.06,1.51,35.15
381,334,Kairat Almaty,UEFA Europa Conference League,1.12,1.6,34.87
382,374,San Lorenzo,Argentina Primera Division,0.99,1.43,34.86
383,318,FC Zorya Luhansk,UEFA Europa Conference League,1.03,1.49,34.83
384,385,Sporting Kansas City,Major League Soccer,1.06,1.53,34.77
385,415,Vancouver Whitecaps,Major League Soccer,1.13,1.63,34.61
386,401,Platense,Argentina Primera Division,0.97,1.42,34.55
387,331,SC Paderborn,German 2. Bundesliga,1.16,1.68,34.49
388,360,Querétaro,Mexican Primera Division Torneo Apertura,1.0,1.47,34.49
389,369,Sarpsborg,Norwegian Tippeligaen,1.29,1.85,34.45
390,405,Valerenga,Norwegian Tippeligaen,1.09,1.59,34.42
391,333,Rosario Central,Argentina Primera Division,1.05,1.54,34.33
392,393,Stromsgodset,Norwegian Tippeligaen,1.2,1.73,34.32
393,375,Ionikos FC,Greek Super League,1.07,1.57,34.12
394,363,Ascoli,Italy Serie B,0.96,1.44,34.09
395,427,SV Ried,Austrian T-Mobile Bundesliga,1.11,1.63,34.04
396,407,NS Mura,UEFA Europa Conference League,1.11,1.64,33.99
397,340,OH Leuven,Belgian Jupiler League,1.19,1.74,33.92
398,400,Jablonec,UEFA Europa Conference League,1.1,1.63,33.87
399,377,AIK,Swedish Allsvenskan,1.02,1.53,33.84
400,454,Wigan,English League Championship,1.04,1.56,33.83
401,424,Ross County,Scottish Premiership,1.1,1.63,33.83
402,402,Kashiwa Reysol,Japanese J League,0.99,1.49,33.8
403,441,Nimes,French Ligue 2,1.07,1.59,33.79
404,433,Houston Dynamo,Major League Soccer,1.19,1.75,33.78
405,,Kilmarnock,Scottish Premiership,1.07,1.6,33.76
406,396,Tenerife,Spanish Segunda Division,0.91,1.4,33.67
407,399,FK Nizhny Novgorod,Russian Premier Liga,0.89,1.36,33.66
408,381,FC Cartagena,Spanish Segunda Division,1.07,1.6,33.63
409,451,Ipswich Town,English League One,0.95,1.46,33.42
410,,Fakel Voronezh,Russian Premier Liga,1.02,1.56,33.33
411,417,DC United,Major League Soccer,1.23,1.83,33.32
412,423,KV Oostende,Belgian Jupiler League,1.04,1.59,33.29
413,429,1. FC Nürnberg,German 2. Bundesliga,1.15,1.73,33.24
414,408,Mirandes,Spanish Segunda Division,1.02,1.56,33.17
415,,Ankaragucu,Turkish Turkcell Super Lig,1.05,1.61,33.05
416,364,Odense BK,Danish SAS-Ligaen,1.06,1.62,33.01
417,394,Perugia,Italy Serie B,0.89,1.4,32.93
418,412,Nagoya Grampus Eight,Japanese J League,0.79,1.27,32.88
419,442,Motherwell,Scottish Premiership,1.06,1.63,32.86
420,432,AGF Aarhus,Danish SAS-Ligaen,0.98,1.53,32.73
421,,Austria Lustenau,Austrian T-Mobile Bundesliga,1.0,1.56,32.69
422,413,Grasshoppers Zürich,Swiss Raiffeisen Super League,1.12,1.72,32.61
423,453,Servette,Swiss Raiffeisen Super League,1.14,1.75,32.59
424,426,Giresunspor,Turkish Turkcell Super Lig,1.0,1.57,32.51
425,409,Ternana,Italy Serie B,1.15,1.78,32.44
426,505,Rotherham United,English League Championship,1.0,1.58,32.34
427,439,FC Tokyo,Japanese J League,1.0,1.58,32.34
428,379,1. FC Heidenheim 1846,German 2. Bundesliga,1.04,1.64,32.23
429,,Torpedo Moskow,Russian Premier Liga,1.03,1.62,32.22
430,477,Barnsley,English League One,1.1,1.72,32.11
431,436,Toronto FC,Major League Soccer,1.18,1.84,32.06
432,445,Spal,Italy Serie B,1.01,1.61,31.9
433,435,Sarmiento,Argentina Primera Division,0.9,1.48,31.65
