rank,prev_rank,name,league,off,def,spi
530,513,Panetolikos,Greek Super League,0.65,1.61,23.03
531,558,US Quevilly,French Ligue 2,0.7,1.7,22.96
532,521,Consadole Sapporo,Japanese J League,0.8,1.87,22.75
533,544,Lincoln City,English League One,0.78,1.89,21.91
534,553,Charlton Athletic,English League One,0.72,1.83,21.57
535,560,Oakland Roots,United Soccer League,0.9,2.11,21.54
536,530,Plymouth Argyle,English League One,0.68,1.76,21.49
537,515,Western Sydney FC,Australian A-League,0.91,2.15,21.37
538,549,SuperSport United,South African ABSA Premier League,0.7,1.81,21.35
539,516,Western United,Australian A-League,0.84,2.03,21.29
540,534,New Mexico United,United Soccer League,0.73,1.86,21.26
541,562,Shrewsbury Town,English League One,0.67,1.76,21.13
542,519,Adelaide United,Australian A-League,0.83,2.03,21.1
543,546,Alashkert FC,UEFA Europa Conference League,0.58,1.62,21.06
544,524,Central Coast Mariners,Australian A-League,0.93,2.23,20.68
545,525,Newcastle Jets,Australian A-League,0.86,2.13,20.59
546,,1. FC Kaiserslautern,German 2. Bundesliga,0.71,1.88,20.56
547,,1. FC Magdeburg,German 2. Bundesliga,0.71,1.89,20.46
548,,Eintracht Braunschweig,German 2. Bundesliga,0.7,1.89,20.27
549,535,Colorado Springs Switchbacks FC,United Soccer League,0.82,2.09,20.07
550,556,Black Aces,South African ABSA Premier League,0.6,1.71,20.05
551,551,Kristiansund BK,Norwegian Tippeligaen,0.84,2.14,19.91
552,550,Memphis 901 FC,United Soccer League,0.73,1.98,19.55
553,555,Birmingham Legion FC,United Soccer League,0.7,1.93,19.5
554,542,El Paso Locomotive FC,United Soccer League,0.74,2.02,19.17
555,559,Arizona United,United Soccer League,0.9,2.31,18.92
556,619,Colchester United,English League Two,0.7,2.02,18.51
557,437,Shandong Luneng,Chinese Super League,0.82,2.22,18.5
558,563,Sacramento Republic FC,United Soccer League,0.63,1.88,18.49
559,431,Jiangsu Suning FC,Chinese Super League,0.71,2.04,18.37
560,591,Fleetwood Town,English League One,0.75,2.11,18.35
561,577,Cheltenham Town,English League One,0.8,2.2,18.34
562,607,Forest Green Rovers,English League One,0.67,1.99,18.08
563,575,Rio Grande Valley FC Toros,United Soccer League,0.6,1.9,17.67
564,584,Burton Albion,English League One,0.64,1.99,17.38
565,564,Lamia,Greek Super League,0.38,1.52,17.36
566,574,Swindon Town,English League Two,0.69,2.1,17.14
567,588,Mansfield Town,English League Two,0.66,2.07,17.04
568,552,Brisbane Roar,Australian A-League,0.66,2.08,16.91
569,565,Varbergs BoIS FC,Swedish Allsvenskan,0.56,1.92,16.63
570,566,Stellenbosch FC,South African ABSA Premier League,0.47,1.75,16.58
571,578,Miami FC,United Soccer League,0.58,1.97,16.53
572,620,Doncaster Rovers,English League Two,0.64,2.08,16.48
573,592,Lincoln Red Imps,UEFA Europa Conference League,0.66,2.12,16.3
574,561,Macarthur FC,Australian A-League,0.78,2.35,16.27
575,582,Accrington Stanley,English League One,0.7,2.23,16.04
576,589,Port Vale,English League One,0.6,2.04,15.99
577,554,Bristol Rovers,English League One,0.59,2.04,15.93
578,593,Cambridge United,English League One,0.58,2.07,15.42
579,599,Exeter City,English League One,0.56,2.06,15.09
580,581,FK Jerv,Norwegian Tippeligaen,0.55,2.04,15.02
581,597,AmaZulu,South African ABSA Premier League,0.39,1.74,14.86
582,585,Orange County SC,United Soccer League,0.54,2.07,14.48
583,595,LA Galaxy II,United Soccer League,0.69,2.36,14.45
584,583,Golden Arrows,South African ABSA Premier League,0.49,1.98,14.44
585,600,Northampton Town,English League Two,0.48,1.98,14.19
586,625,Gillingham,English League Two,0.55,2.13,14.16
587,576,IFK Värnamo,Swedish Allsvenskan,0.49,2.01,14.08
588,612,Morecambe,English League One,0.61,2.26,13.96
589,596,Detroit City FC,United Soccer League,0.48,2.01,13.78
590,586,Helsingborgs IF,Swedish Allsvenskan,0.48,2.04,13.46
591,580,Wellington Phoenix,Australian A-League,0.67,2.44,13.27
592,587,GIF Sundsvall,Swedish Allsvenskan,0.62,2.4,12.67
593,590,Degerfors IF,Swedish Allsvenskan,0.51,2.21,12.42
594,604,Leyton Orient,English League Two,0.44,2.07,12.41
595,615,Sekhukhune United,South African ABSA Premier League,0.33,1.83,12.39
596,598,Apollon Smyrni,Greek Super League,0.36,1.9,12.37
597,606,Tranmere Rovers,English League Two,0.42,2.03,12.37
598,,Royal AM,South African ABSA Premier League,0.45,2.12,12.26
599,601,Hartford Athletic,United Soccer League,0.51,2.25,12.21
600,609,Maritzburg Utd,South African ABSA Premier League,0.34,1.89,11.99
601,523,Tianjin Teda,Chinese Super League,0.5,2.26,11.8
602,608,Tshakhuma Tsha Madzivhandila,South African ABSA Premier League,0.3,1.85,11.47
603,611,Moroka Swallows,South African ABSA Premier League,0.37,2.03,11.39
604,624,Rochdale,English League Two,0.42,2.15,11.31
605,613,Tulsa Roughnecks,United Soccer League,0.52,2.38,11.21
606,531,Shanghai Greenland,Chinese Super League,0.56,2.47,11.13
607,610,Monterey Bay,United Soccer League,0.44,2.23,11.02
608,602,Sutton United,English League Two,0.43,2.21,10.98
609,618,TS Galaxy,South African ABSA Premier League,0.3,1.91,10.94
610,614,Newport County,English League Two,0.41,2.21,10.6
611,621,AFC Wimbledon,English League Two,0.41,2.21,10.58
612,541,Hebei China Fortune FC,Chinese Super League,0.5,2.43,10.52
613,617,Chippa United,South African ABSA Premier League,0.26,1.87,10.46
614,622,Bradford City,English League Two,0.37,2.14,10.42
615,539,Henan Jianye,Chinese Super League,0.46,2.36,10.34
616,630,Crewe Alexandra,English League Two,0.39,2.22,10.2
617,616,Indy Eleven,United Soccer League,0.38,2.22,10.01
618,547,Dalian Aerbin,Chinese Super League,0.51,2.51,9.96
619,623,Charleston Battery,United Soccer League,0.47,2.44,9.91
620,,Richards Bay,South African ABSA Premier League,0.36,2.17,9.88
621,557,Guangzhou RF,Chinese Super League,0.66,2.86,9.74
622,605,Perth Glory,Australian A-League,0.43,2.38,9.64
623,548,Wuhan Zall,Chinese Super League,0.39,2.32,9.4
624,,Stockport County,English League Two,0.38,2.29,9.37
625,627,Crawley Town,English League Two,0.36,2.34,8.77
626,636,Stevenage,English League Two,0.33,2.29,8.61
627,626,Las Vegas Lights FC,United Soccer League,0.32,2.31,8.29
628,570,Tianjin Quanujian,Chinese Super League,0.37,2.51,7.83
629,631,Harrogate Town,English League Two,0.37,2.5,7.83
630,573,Shenzhen FC,Chinese Super League,0.4,2.6,7.73
631,,Grimsby Town,English League Two,0.3,2.34,7.71
632,568,Chongqing Lifan,Chinese Super League,0.3,2.35,7.66
633,629,Atlanta United 2,United Soccer League,0.54,2.95,7.54
634,634,Loudoun United FC,United Soccer League,0.37,2.61,7.15
635,633,Barrow,English League Two,0.22,2.25,6.96
636,632,Walsall,English League Two,0.2,2.26,6.57
637,635,Carlisle United,English League Two,0.2,2.32,6.24
638,637,Hartlepool,English League Two,0.2,2.36,6.0
639,639,New York Red Bulls II,United Soccer League,0.2,2.55,5.12
640,603,Guizhou Renhe,Chinese Super League,0.2,2.61,4.86
